freqs,channel,p1,chi2
78.125,9,0.1073,2.6324
78.125,10,0.1408,1.3432
78.125,11,5.6879,111.4407
78.125,12,0.1588,33.8838
78.125,13,0.1248,1.6418
78.125,14,0.1182,0.9663
78.125,15,5.3663,88.9626
80.0781,0,0.1841,3.9569
80.0781,1,0.125,1.0228
80.0781,2,0.1594,1.2298
80.0781,3,4.4198,78.9563
80.0781,4,0.1638,5.9263
80.0781,5,0.1311,1.0664
80.0781,6,0.0722,1.0939
80.0781,7,4.7892,85.7531
80.0781,8,0.1548,11.9543
80.0781,9,0.0938,1.2699
80.0781,10,0.1385,1.7942
80.0781,11,5.5726,124.8143
80.0781,12,0.1564,56.8453
80.0781,13,0.1146,1.1659
80.0781,14,0.116,1.0692
80.0781,15,5.316,94.9134
82.0312,0,0.1834,5.4803
82.0312,1,0.1219,1.2525
82.0312,2,0.1598,1.5262
82.0312,3,4.3143,76.8904
82.0312,4,0.1618,7.7331
82.0312,5,0.129,1.1855
82.0312,6,0.0665,0.9339
82.0312,7,4.7053,86.5127
82.0312,8,0.1527,21.1445
82.0312,9,0.0858,1.1615
82.0312,10,0.1379,1.6791
82.0312,11,5.4825,115.5461
82.0312,12,0.1562,98.3531
82.0312,13,0.1087,1.339
82.0312,14,0.1143,1.0213
82.0312,15,5.2281,95.2212
83.9844,0,0.1861,8.1073
83.9844,1,0.1267,1.1126
83.9844,2,0.1628,1.3633
83.9844,3,4.1996,78.3517
83.9844,4,0.1667,12.6944
83.9844,5,0.1327,1.0409
83.9844,6,0.0682,1.0686
83.9844,7,4.6526,90.0477
83.9844,8,0.1566,38.2593
83.9844,9,0.0868,1.1089
83.9844,10,0.14,1.8372
83.9844,11,5.5129,105.6765
83.9844,12,0.1621,156.6362
83.9844,13,0.1097,1.3396
83.9844,14,0.1152,1.3912
83.9844,15,5.1574,74.3595
85.9375,0,0.187,14.6662
85.9375,1,0.1277,1.555
85.9375,2,0.164,1.8967
85.9375,3,4.0496,84.034
85.9375,4,0.1735,29.787
